month,vtuber,avg_viewers
2022-11-01,megubite,9
2022-12-01,megubite,8
2023-01-01,megubite,8
2023-02-01,megubite,8
2023-03-01,megubite,14
2023-04-01,megubite,14
2023-05-01,megubite,14
2023-06-01,megubite,16
2023-07-01,megubite,14
2023-08-01,megubite,14
2023-09-01,megubite,15
2023-10-01,megubite,14
2023-11-01,megubite,19
2023-12-01,megubite,28
2024-01-01,megubite,21
2024-02-01,megubite,20
2024-03-01,megubite,22
2024-04-01,megubite,21
2024-05-01,megubite,27
2024-06-01,megubite,21
2024-07-01,megubite,26
2024-08-01,megubite,35
2024-09-01,megubite,31
2024-10-01,megubite,31
2024-11-01,megubite,28
2024-12-01,megubite,30
2025-01-01,megubite,28
2025-02-01,megubite,26
2025-03-01,megubite,28
2025-04-01,megubite,29
2025-05-01,megubite,45
2025-06-01,megubite,34
2025-07-01,megubite,32
2025-08-01,megubite,56
2025-09-01,megubite,50
2025-10-01,megubite,52
2025-11-01,megubite,61
2025-12-01,megubite,60
2026-01-01,megubite,54
2026-02-01,megubite,39
2026-03-01,megubite,65
2026-04-01,megubite,145
2026-05-01,megubite,44
2026-06-01,megubite,47
2022-11-01,miroishiko,13
2022-12-01,miroishiko,15
2023-04-01,miroishiko,15
2023-07-01,miroishiko,11
2023-08-01,miroishiko,12
2023-09-01,miroishiko,16
2023-10-01,miroishiko,24
2023-11-01,miroishiko,12
2023-12-01,miroishiko,12
2024-01-01,miroishiko,15
2024-03-01,miroishiko,11
2024-07-01,miroishiko,18
2024-08-01,miroishiko,15
2024-09-01,miroishiko,17
2024-10-01,miroishiko,16
2024-11-01,miroishiko,12
2024-12-01,miroishiko,15
2025-01-01,miroishiko,26
2025-02-01,miroishiko,13
2025-03-01,miroishiko,14
2025-04-01,miroishiko,13
2025-05-01,miroishiko,18
2025-06-01,miroishiko,15
2025-07-01,miroishiko,16
2025-08-01,miroishiko,10
2025-09-01,miroishiko,13
2025-11-01,miroishiko,24
2025-12-01,miroishiko,10
2026-01-01,miroishiko,18
2026-02-01,miroishiko,11
2026-05-01,miroishiko,9
2026-06-01,miroishiko,0
2024-11-01,ifrit_fri,16
2024-12-01,ifrit_fri,33
2025-01-01,ifrit_fri,59
2025-02-01,ifrit_fri,60
2025-03-01,ifrit_fri,57
2025-04-01,ifrit_fri,47
2025-05-01,ifrit_fri,49
2025-06-01,ifrit_fri,51
2025-07-01,ifrit_fri,50
2025-08-01,ifrit_fri,68
2025-09-01,ifrit_fri,66
2025-10-01,ifrit_fri,68
2025-11-01,ifrit_fri,82
2025-12-01,ifrit_fri,86
2026-01-01,ifrit_fri,89
2026-02-01,ifrit_fri,93
2026-03-01,ifrit_fri,89
2026-04-01,ifrit_fri,74
2026-05-01,ifrit_fri,68
2026-06-01,ifrit_fri,77
2024-12-01,kinzzaa,12
2025-01-01,kinzzaa,17
2025-02-01,kinzzaa,25
2025-03-01,kinzzaa,19
2025-04-01,kinzzaa,24
2025-05-01,kinzzaa,28
2025-06-01,kinzzaa,26
2025-07-01,kinzzaa,34
2025-08-01,kinzzaa,36
2025-09-01,kinzzaa,29
2025-10-01,kinzzaa,32
2025-11-01,kinzzaa,38
2025-12-01,kinzzaa,38
2026-01-01,kinzzaa,31
2026-02-01,kinzzaa,27
2026-03-01,kinzzaa,25
2026-04-01,kinzzaa,23
2026-05-01,kinzzaa,51
2026-06-01,kinzzaa,22
2017-11-01,awful_queen,10
2018-01-01,awful_queen,8
2018-03-01,awful_queen,8
2018-04-01,awful_queen,17
2018-05-01,awful_queen,13
2018-06-01,awful_queen,17
2018-07-01,awful_queen,11
2019-01-01,awful_queen,10
2019-03-01,awful_queen,5
2019-04-01,awful_queen,0
2019-06-01,awful_queen,5
2019-07-01,awful_queen,6
2019-08-01,awful_queen,6
2019-09-01,awful_queen,6
2019-10-01,awful_queen,6
2019-11-01,awful_queen,6
2019-12-01,awful_queen,5
2020-01-01,awful_queen,6
2020-02-01,awful_queen,6
2020-03-01,awful_queen,5
2020-04-01,awful_queen,5
2020-05-01,awful_queen,5
2020-06-01,awful_queen,5
2020-07-01,awful_queen,5
2020-08-01,awful_queen,5
2020-09-01,awful_queen,5
2020-10-01,awful_queen,5
2020-11-01,awful_queen,5
2020-12-01,awful_queen,6
2021-01-01,awful_queen,9
2021-02-01,awful_queen,13
2021-03-01,awful_queen,15
2021-05-01,awful_queen,17
2021-06-01,awful_queen,17
